Frequency (cm-1),Normalized YbOH Absorption
17345.2349,0.0030308076602830972
17345.2352,0.0004507960377579957
17345.2354,0.0033389135532972463
17345.2357,0.001873598365591542
17345.236,0.002389825568777245
17345.2363,0.0045322978961278085
17345.2365,0.0003589256623136766
17345.2367,0.002444042500694551
17345.237,0.0018118965311717723
17345.2374,0.001965890056342318
17345.2375,0.0029274649787041644
17345.2378,0.0011051606014400328
17345.2381,0.0024252755069107818
17345.2384,0.001505418837997508
17345.2386,0.00018963375006666812
17345.2389,0.002275192317880056
17345.2392,0.001968127596320431
17345.2394,0.0017803106890607705
17345.2397,0.0038755849580049693
17345.24,0.0027917364600781682
17345.2402,0.002583856579842526
17345.2405,0.002498201988972199
17345.2407,0.0032719915275347088
17345.241,0.001621630271854224
17345.2413,0.003246759581745562
17345.2415,0.002049852119502118
17345.2419,0.002725687893143055
17345.2421,0.0020809610256372945
17345.2424,0.0012677286908321897
17345.2427,0.0019475284259949353
17345.2428,0.00030121232298114137
17345.2432,0.0012040359664321717
17345.2435,0.0023926037209819925
17345.2437,0.002573034371244484
17345.244,0.002431672534765318
17345.2442,0.003822282694018525
17345.2445,0.0008074090855666257
17345.2448,0.0035017150102070464
17345.2451,0.0015930917747585473
17345.2453,0.0036148269578157454
17345.2456,0.0011034854604938496
17345.2457,0.002255959622990251
17345.2462,0.0016382467497468164
17345.2464,0.0005188839603045638
17345.2466,0.0032369470980392876
17345.2469,0.0030427608382929514
17345.2472,0.004066300150208954
17345.2475,0.0016036711733938616
17345.2478,0.002204755248532977
17345.248,0.0014244185589475026
17345.2483,0.0028320195641798355
17345.2485,0.0023267486293670637
17345.2487,0.001960886796635493
17345.249,0.0006474279022383868
17345.2493,0.004644148599782711
17345.2495,0.0015663066878106257
17345.2498,0.003297795798860988
17345.2476,0.003488145754661891
17345.2479,0.001908226186076368
17345.2482,0.0008602526320034142
17345.2484,0.0032244695633801674
17345.2487,0.0023005950712403594
17345.2489,0.0026784903896846257
17345.2493,0.001739111011125524
17345.2495,0.005248598231979926
17345.2498,0.00016571529093231422
17345.25,0.0003864552072527843
17345.2503,0.0037236357781014993
17345.2505,0.002078966759891019
17345.2509,0.005871201438125532
17345.2511,0.001691282312506618
17345.2513,0.003363000894090872
17345.2516,0.006939616224900853
17345.2519,0.002005927341369411
17345.2522,0.00529907998766949
17345.2524,0.004870304733864391
17345.2527,0.003727598566308244
17345.253,0.004630802601618574
17345.2533,0.004291158853966912
17345.2535,0.0009255083433008489
17345.2538,0.003440578567112989
17345.2541,0.00030085662085136956
17345.2544,0.0021288510426481304
17345.2545,0.003751282120233106
17345.2549,0.0016669905196306028
17345.2551,0.004767602957801994
17345.2554,0.003529947906831532
17345.2557,0.0031878856780360202
17345.2559,0.0029343615915977278
17345.2562,0.0015458929748609275
17345.2564,0.002582562457056014
17345.2567,0.003077879515301355
17345.257,0.002616659398168338
17345.2572,0.0026987285669158004
17345.2575,0.0022856729472434992
17345.2578,0.0023206325328832714
17345.258,0.003495867173976528
17345.2584,0.002712782518010829
17345.2586,0.0023443826337037586
17345.2588,0.0007626977012716691
17345.2591,0.003159071626239959
17345.2594,0.0030511735817339417
17345.2596,0.0018097363817337275
17345.26,0.004439137311588054
17345.2602,0.0017747023558007038
17345.2605,0.0019902753634142042
17345.2608,0.0030909054127577842
17345.261,0.0023058221734985488
17345.2613,0.0018772060475999524
17345.2616,0.0018887977476287063
17345.2618,0.0016265070113240941
17345.2621,0.0022648435920170486
